stn_no,lat,long,Ave_NDVI,Rainfal
483,-6.281156,144.298868,0.889874,3451.334717
484,-6.364489,144.298868,0.867746,3376.111816
485,-6.447823,144.298868,0.877594,3357.482422
486,-6.531156,144.298868,0.8842,3469.40332
487,-6.614489,144.298868,0.875546,3619.074463
488,-6.697823,144.298868,0.892183,3761.557129
489,-6.697823,144.382202,0.855623,3622.535889
490,-6.614489,144.382202,0.901686,3515.511719
491,-6.531156,144.382202,0.883211,3398.86499
492,-6.447823,144.382202,0.893943,3289.446777
493,-6.364489,144.382202,0.891314,3278.729004
494,-6.281156,144.382202,0.888831,3296.572021
495,-6.197823,144.382202,0.885403,3251.536621
496,-6.114489,144.382202,0.91066,3122.108154
497,-6.031156,144.382202,0.841143,2900.481201
498,-5.947823,144.382202,0.844429,2727.237061
499,-5.864489,144.382202,0.7869,2574.471436
500,-5.781156,144.382202,0.793769,2496.521973
501,-5.697823,144.382202,0.794931,2513.505127
502,-5.614489,144.382202,0.810826,2596.390625
503,-5.531156,144.382202,0.859083,2712.265381
504,-5.447823,144.382202,0.892146,2816.069824
505,-5.364489,144.383777,0.87896,2892.09668
506,-5.281156,144.382202,0.889389,2933.318115
507,-5.197823,144.382202,0.862654,2950.205811
508,-5.114489,144.382202,0.854886,2990.896484
509,-5.031156,144.382202,0.833989,3054.495605
510,-4.947823,144.382202,0.881537,3138.183594
511,-4.864489,144.382202,0.863257,3207.322998
512,-4.781156,144.382202,0.895949,3248.364258
513,-4.697823,144.465535,0.891706,3244.051514
514,-4.781156,144.465535,0.887723,3241.874512
515,-4.864489,144.465535,0.87178,3210.421631
516,-4.947823,144.465535,0.893029,3155.568359
517,-5.031156,144.465535,0.859057,3083.258301
518,-5.114489,144.465535,0.8294,3029.312744
519,-5.197823,144.465535,0.873331,2988.32373
520,-5.281156,144.465535,0.874703,2962.812988
521,-5.363254,144.465535,0.857694,2907.709229
522,-5.445345,144.465535,0.874391,2829.868896
523,-5.531156,144.465535,0.874311,2729.267578
524,-5.614489,144.465535,0.829031,2635.07373
525,-5.697823,144.465535,0.827026,2540.413574
526,-5.781156,144.465535,0.806734,2535.617676
527,-5.864489,144.465535,0.787971,2606.856445
528,-5.947823,144.465535,0.851863,2708.273926
529,-6.031156,144.465535,0.871597,2831.535156
530,-6.114489,144.465535,0.858686,2953.993408
531,-6.197823,144.465535,0.9166,3063.52417
532,-6.281156,144.465535,0.890089,3118.035889
533,-6.366197,144.465535,0.888694,3151.599609
534,-6.447823,144.465535,0.889434,3198.114502
535,-6.531156,144.465535,0.897346,3275.665039
536,-6.614489,144.465535,0.861971,3366.137451
537,-6.697823,144.465535,0.890314,3468.900635
538,-6.697823,144.548868,0.885737,3347.105957
539,-6.614489,144.548868,0.865917,3285.795654
540,-6.531156,144.548868,0.883309,3195.265137
541,-6.447823,144.548868,0.867697,3100.102051
542,-6.364489,144.548868,0.896951,3020.606689
543,-6.281156,144.548868,0.908069,2960.462158
544,-6.197823,144.548868,0.898926,2895.457764
545,-6.114489,144.548868,0.856503,2847.543701
546,-6.031156,144.548868,0.863409,2759.792969
547,-5.947823,144.548868,0.804903,2652.817139
